"model_id","base_id","inference_type","confidence","inference_source"
"ewhk9887/merged-deepseek-r1-with-python","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","Menlo/Lucy","finetune","high","explicit_card | cardData.base_model=Menlo/Lucy; cardData.base_model_relation=finetune"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","ValiantLabs/Qwen3-1.7B-ShiningValiant3","finetune","high","explicit_card | cardData.base_model=ValiantLabs/Qwen3-1.7B-ShiningValiant3; cardData.base_model_relation=finetune"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","POLARIS-Project/Polaris-1.7B-Preview","finetune","high","explicit_card | cardData.base_model=POLARIS-Project/Polaris-1.7B-Preview; cardData.base_model_relation=finetune"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","Goekdeniz-Guelmez/Josiefied-Qwen3-1.7B-abliterated-v1","finetune","high","explicit_card | cardData.base_model=Goekdeniz-Guelmez/Josiefied-Qwen3-1.7B-abliterated-v1; cardData.base_model_relation=finetune"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","Goekdeniz-Guelmez/Josiefied-Qwen3-1.7B-abliterated-v1","merge","high","explicit_tag | base_model:merge:Goekdeniz-Guelmez/Josiefied-Qwen3-1.7B-abliterated-v1"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","ValiantLabs/Qwen3-1.7B-ShiningValiant3","merge","high","explicit_tag | base_model:merge:ValiantLabs/Qwen3-1.7B-ShiningValiant3"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","POLARIS-Project/Polaris-1.7B-Preview","merge","high","explicit_tag | base_model:merge:POLARIS-Project/Polaris-1.7B-Preview"
"DavidAU/Qwen3-MOE-4x1.7B-6.8B-Lucys-Song-Uncensored","Menlo/Lucy","merge","high","explicit_tag | base_model:merge:Menlo/Lucy"
"TheBloke/stablecode-instruct-alpha-3b-GGML","stabilityai/stablecode-instruct-alpha-3b","finetune","high","explicit_card | cardData.base_model=stabilityai/stablecode-instruct-alpha-3b; cardData.base_model_relation=finetune"
"FerdinandC/llama-autocomplete-code-finetuned","meta-llama/Llama-3.1-8B-Instruct","finetune","high","explicit_card | cardData.base_model=meta-llama/Meta-Llama-3.1-8B-Instruct; cardData.base_model_relation=finetune | validated: base_id 'meta-llama/Meta-Llama-3.1-8B-Instruct' -> 'meta-llama/Llama-3.1-8B-Instruct'"
"FerdinandC/llama-autocomplete-code-finetuned","meta-llama/Llama-3.1-8B-Instruct","adapter","high","explicit_tag | base_model:adapter:meta-llama/Llama-3.1-8B-Instruct"
"QuantFactory/FastApply-7B-v1.0-GGUF","unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit","finetune","high","explicit_card | cardData.base_model=unsloth/qwen2.5-coder-7b-instruct-bnb-4bit; cardData.base_model_relation=finetune | validated: base_id 'unsloth/qwen2.5-coder-7b-instruct-bnb-4bit' -> 'unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit'"
"mradermacher/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA-GGUF","mradermacher/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA' -> 'mradermacher/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA-i1-GGUF'"
"TheBloke/XwinCoder-34B-GPTQ","Xwin-LM/XwinCoder-34B","finetune","high","explicit_card | cardData.base_model=Xwin-LM/XwinCoder-34B; cardData.base_model_relation=finetune"
"TheBloke/XwinCoder-34B-GPTQ","Xwin-LM/XwinCoder-34B","quantized","high","explicit_tag | base_model:quantized:Xwin-LM/XwinCoder-34B"
"swordfish7412/Bandila_1.0","mistralai/Mistral-7B-v0.1","finetune","high","explicit_card | cardData.base_model=mistralai/Mistral-7B-v0.1; cardData.base_model_relation=finetune"
"swordfish7412/Bandila_1.0","mistralai/Mistral-7B-v0.1","adapter","high","explicit_tag | base_model:adapter:mistralai/Mistral-7B-v0.1"
"HappySpirit/Babelbit-h1","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"fyp-buglens/VideoGameReviews-ActionNotPossible-BERT","google-bert/bert-base-uncased","finetune","high","explicit_card | cardData.base_model=google-bert/bert-base-uncased; cardData.base_model_relation=finetune"
"Prince-1/OpenReasoning-Nemotron-7B","nvidia/OpenReasoning-Nemotron-7B","finetune","high","explicit_card | cardData.base_model=nvidia/OpenReasoning-Nemotron-7B; cardData.base_model_relation=finetune"
"Prince-1/OpenReasoning-Nemotron-7B","nvidia/OpenReasoning-Nemotron-7B","quantized","high","explicit_tag | base_model:quantized:nvidia/OpenReasoning-Nemotron-7B"
"GAIR/OpenSWE-32B","Qwen/Qwen2.5-32B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-32B; cardData.base_model_relation=finetune"
"JetBrains-Research/OpenCoder-1.5B-Half-Memory-Py-Reversed","infly/OpenCoder-1.5B-Base","finetune","high","explicit_card | cardData.base_model=infly/OpenCoder-1.5B-Base; cardData.base_model_relation=finetune"
"prithivMLmods/Megatron-Opus-14B-Exp","prithivMLmods/Primal-Opus-14B-Optimus-v1","finetune","high","explicit_card | cardData.base_model=prithivMLmods/Primal-Opus-14B-Optimus-v1; cardData.base_model_relation=finetune"
"prithivMLmods/Feynman-Grpo-Exp-GGUF","prithivMLmods/Feynman-Grpo-Exp","finetune","high","explicit_card | cardData.base_model=prithivMLmods/Feynman-Grpo-Exp; cardData.base_model_relation=finetune"
"prithivMLmods/Feynman-Grpo-Exp-GGUF","prithivMLmods/Feynman-Grpo-Exp","quantized","high","explicit_tag | base_model:quantized:prithivMLmods/Feynman-Grpo-Exp"
"farbodtavakkoli/OTel-LLM-8.3B-Classification","EssentialAI/rnj-1","finetune","high","explicit_card | cardData.base_model=EssentialAI/rnj-1; cardData.base_model_relation=finetune"
"yarenty/qwen2.5-3B-datafusion-instruct-gguf","Qwen/Qwen2.5-3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-3B-Instruct; cardData.base_model_relation=finetune"
"yarenty/qwen2.5-3B-datafusion-instruct-gguf","Qwen/Qwen2.5-3B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-3B-Instruct"
"openwalrus/Qwen3-8B","Qwen/Qwen3-8B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-8B; cardData.base_model_relation=finetune"
"openwalrus/Qwen3-8B","Qwen/Qwen3-8B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-8B"
"solidrust/Mistral-7B-v0.2-AWQ","mistral-community/Mistral-7B-v0.2","finetune","high","explicit_card | cardData.base_model=mistral-community/Mistral-7B-v0.2; cardData.base_model_relation=finetune"
"solidrust/Mistral-7B-v0.2-AWQ","mistral-community/Mistral-7B-v0.2","quantized","high","explicit_tag | base_model:quantized:mistral-community/Mistral-7B-v0.2"
"nwdxlgzs/XL-LuaCopilot-0.6B-FFT-MNN_Q8","nwdxlgzs/XL-LuaCopilot-0.6B-FFT-checkpoint-20000","finetune","high","explicit_card | cardData.base_model=nwdxlgzs/XL-LuaCopilot-0.6B-FFT-checkpoint-20000; cardData.base_model_relation=finetune"
"bartowski/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","finetune","high","explicit_card | cardData.base_model=bigcode/starcoder2-15b; cardData.base_model_relation=finetune"
"bartowski/starcoder2-15b-instruct-v0.1-GGUF","bigcode/starcoder2-15b","quantized","high","explicit_tag | base_model:quantized:bigcode/starcoder2-15b"
"Pranabit/finetune_starcoder2_3b","bigcode/starcoder2-3b","finetune","high","explicit_card | cardData.base_model=bigcode/starcoder2-3b; cardData.base_model_relation=finetune"
"Pranabit/finetune_starcoder2_3b","bigcode/starcoder2-3b","adapter","high","explicit_tag | base_model:adapter:bigcode/starcoder2-3b"
"RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4","RedHatAI/Sparse-Llama-3.1-8B-2of4","finetune","high","explicit_card | cardData.base_model=neuralmagic/Sparse-Llama-3.1-8B-2of4; cardData.base_model_relation=finetune | validated: base_id 'neuralmagic/Sparse-Llama-3.1-8B-2of4' -> 'RedHatAI/Sparse-Llama-3.1-8B-2of4'"
"abacusai/TheProfessor-155b","dphn/dolphin-2.2-70b","finetune","high","explicit_card | cardData.base_model=cognitivecomputations/dolphin-2.2-70b; cardData.base_model_relation=finetune | validated: base_id 'cognitivecomputations/dolphin-2.2-70b' -> 'dphn/dolphin-2.2-70b'"
"abacusai/TheProfessor-155b","WizardLMTeam/WizardMath-70B-V1.0","finetune","high","explicit_card | cardData.base_model=WizardLM/WizardMath-70B-V1.0; cardData.base_model_relation=finetune | validated: base_id 'WizardLM/WizardMath-70B-V1.0' -> 'WizardLMTeam/WizardMath-70B-V1.0'"
"abacusai/TheProfessor-155b","migtissera/Synthia-70B-v1.2b","finetune","high","explicit_card | cardData.base_model=migtissera/SynthIA-70B-v1.2b; cardData.base_model_relation=finetune | validated: base_id 'migtissera/SynthIA-70B-v1.2b' -> 'migtissera/Synthia-70B-v1.2b'"
"abacusai/TheProfessor-155b","epfl-llm/meditron-70b","finetune","high","explicit_card | cardData.base_model=epfl-llm/meditron-70b; cardData.base_model_relation=finetune"
"abacusai/TheProfessor-155b","WizardLMTeam/WizardMath-70B-V1.0","merge","high","explicit_tag | base_model:merge:WizardLMTeam/WizardMath-70B-V1.0"
"abacusai/TheProfessor-155b","dphn/dolphin-2.2-70b","merge","high","explicit_tag | base_model:merge:dphn/dolphin-2.2-70b"
"abacusai/TheProfessor-155b","epfl-llm/meditron-70b","merge","high","explicit_tag | base_model:merge:epfl-llm/meditron-70b"
"nightmedia/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x-mxfp4-mlx","DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x","finetune","high","explicit_card | cardData.base_model=DavidAU/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x' -> 'DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x'"
"nightmedia/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x-mxfp4-mlx","DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x","quantized","high","explicit_tag | base_model:quantized:DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x"
"unsloth/Apriel-1.5-15b-Thinker-GGUF","ServiceNow-AI/Apriel-1.5-15b-Thinker","finetune","high","explicit_card | cardData.base_model=ServiceNow-AI/Apriel-1.5-15b-Thinker; cardData.base_model_relation=finetune"
"unsloth/Apriel-1.5-15b-Thinker-GGUF","ServiceNow-AI/Apriel-1.5-15b-Thinker","quantized","high","explicit_tag | base_model:quantized:ServiceNow-AI/Apriel-1.5-15b-Thinker"
"UmbrellaInc/Hunter.Beta-1B","UmbrellaInc/T-Virus-1B","finetune","high","explicit_card | cardData.base_model=UmbrellaInc/T-Virus-1B; cardData.base_model_relation=finetune"
"UmbrellaInc/Hunter.Beta-1B","Novaciano/Heretic_Fusion-Gemma3-1B","finetune","high","explicit_card | cardData.base_model=Novaciano/Heretic_Fusion-Gemma3-1B; cardData.base_model_relation=finetune"
"UmbrellaInc/Hunter.Beta-1B","Novaciano/Heretic_Fusion-Gemma3-1B","merge","high","explicit_tag | base_model:merge:Novaciano/Heretic_Fusion-Gemma3-1B"
"UmbrellaInc/Hunter.Beta-1B","UmbrellaInc/T-Virus-1B","merge","high","explicit_tag | base_model:merge:UmbrellaInc/T-Virus-1B"
"Drjkedwards/AdaptivePersistentMemory","mradermacher/oh-dcft-v3.1-claude-3-5-sonnet-20241022-GGUF","finetune","high","explicit_card | cardData.base_model=mradermacher/oh-dcft-v3.1-claude-3-5-sonnet-20241022-GGUF; cardData.base_model_relation=finetune"
"Drjkedwards/AdaptivePersistentMemory","openai/whisper-large-v3-turbo","finetune","high","explicit_card | cardData.base_model=openai/whisper-large-v3-turbo; cardData.base_model_relation=finetune"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B","finetune","high","explicit_card | cardData.base_model=vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B; cardData.base_model_relation=finetune"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","maldv/badger-writer-llama-3-8b","finetune","high","explicit_card | cardData.base_model=maldv/badger-writer-llama-3-8b; cardData.base_model_relation=finetune"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","Orenguteng/Llama-3-8B-Lexi-Uncensored","finetune","high","explicit_card | cardData.base_model=Orenguteng/Llama-3-8B-Lexi-Uncensored; cardData.base_model_relation=finetune"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","abacusai/Llama-3-Smaug-8B","finetune","high","explicit_card | cardData.base_model=abacusai/Llama-3-Smaug-8B; cardData.base_model_relation=finetune"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","abacusai/Llama-3-Smaug-8B","merge","high","explicit_tag | base_model:merge:abacusai/Llama-3-Smaug-8B"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","Orenguteng/Llama-3-8B-Lexi-Uncensored","merge","high","explicit_tag | base_model:merge:Orenguteng/Llama-3-8B-Lexi-Uncensored"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B","merge","high","explicit_tag | base_model:merge:vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B"
"ZeroXClem/Llama-3-Aetheric-Hermes-Lexi-Smaug-8B","maldv/badger-writer-llama-3-8b","merge","high","explicit_tag | base_model:merge:maldv/badger-writer-llama-3-8b"
"nilcars/bitcoin_bitcoin_model","sentence-transformers/all-mpnet-base-v2","finetune","high","explicit_card | cardData.base_model=sentence-transformers/all-mpnet-base-v2; cardData.base_model_relation=finetune"
"khawarizmiai/Khawarizmi-SPI-MLP-8B","Qwen/Qwen3-8B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-8B; cardData.base_model_relation=finetune"
"cerebras/MiniMax-M2-REAP-139B-A10B","MiniMaxAI/MiniMax-M2","finetune","high","explicit_card | cardData.base_model=MiniMaxAI/MiniMax-M2; cardData.base_model_relation=finetune"
"cerebras/MiniMax-M2-REAP-139B-A10B","MiniMaxAI/MiniMax-M2","quantized","high","explicit_tag | base_model:quantized:MiniMaxAI/MiniMax-M2"
"sandeshrajx/Qwen3.5-24B-A3B-REAP-0.32-GGUF","Qwen/Qwen3.5-35B-A3B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3.5-35B-A3B; cardData.base_model_relation=finetune"
"sandeshrajx/Qwen3.5-24B-A3B-REAP-0.32-GGUF","Qwen/Qwen3.5-35B-A3B","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3.5-35B-A3B"
"cyankiwi/Qwen3-30B-A3B-Instruct-2507-AWQ-8bit","Qwen/Qwen3-30B-A3B-Instruct-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-30B-A3B-Instruct-2507; cardData.base_model_relation=finetune"
"cyankiwi/Qwen3-30B-A3B-Instruct-2507-AWQ-8bit","Qwen/Qwen3-30B-A3B-Instruct-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-30B-A3B-Instruct-2507"
"AYI-NEDJIMI/CyberSec-Assistant-3B","Qwen/Qwen2.5-3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-3B-Instruct; cardData.base_model_relation=finetune"
"AYI-NEDJIMI/CyberSec-Assistant-3B","Qwen/Qwen2.5-3B-Instruct","adapter","high","explicit_tag | base_model:adapter:Qwen/Qwen2.5-3B-Instruct"
"CISCai/Yi-Coder-9B-Chat-SOTA-GGUF","01-ai/Yi-Coder-9B-Chat","finetune","high","explicit_card | cardData.base_model=01-ai/Yi-Coder-9B-Chat; cardData.base_model_relation=finetune"
"CISCai/Yi-Coder-9B-Chat-SOTA-GGUF","01-ai/Yi-Coder-9B-Chat","quantized","high","explicit_tag | base_model:quantized:01-ai/Yi-Coder-9B-Chat"
"coder3101/Qwen3-VL-4B-Thinking-heretic","Qwen/Qwen3-VL-4B-Thinking","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-VL-4B-Thinking; cardData.base_model_relation=finetune"
"TobDeBer/PowerMoe-3b-GGUF","ibm-research/PowerMoE-3b","finetune","high","explicit_card | cardData.base_model=ibm/PowerMoE-3b; cardData.base_model_relation=finetune | validated: base_id 'ibm/PowerMoE-3b' -> 'ibm-research/PowerMoE-3b'"
"TobDeBer/PowerMoe-3b-GGUF","ibm-research/PowerMoE-3b","quantized","high","explicit_tag | base_model:quantized:ibm-research/PowerMoE-3b"
"TendieLabs/Fred-7B","allenai/Olmo-3-7B-Think","finetune","high","explicit_card | cardData.base_model=allenai/Olmo-3-7B-Think; cardData.base_model_relation=finetune"
"TheBloke/CodeLlama-7B-GGUF","codellama/CodeLlama-7b-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-7b-hf; cardData.base_model_relation=finetune"
"TheBloke/CodeLlama-7B-GGUF","codellama/CodeLlama-7b-hf","quantized","high","explicit_tag | base_model:quantized:codellama/CodeLlama-7b-hf"
"mradermacher/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B-GGUF","mradermacher/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B' -> 'mradermacher/Qwen3-ST-The-Next-Generation-II-FreakStorm2-E32-v1-256k-ctx-6B-i1-GGUF'"
"TheBloke/CodeNinja-1.0-OpenChat-7B-AWQ","beowolx/CodeNinja-1.0-OpenChat-7B","finetune","high","explicit_card | cardData.base_model=beowolx/CodeNinja-1.0-OpenChat-7B; cardData.base_model_relation=finetune"
"TheBloke/CodeNinja-1.0-OpenChat-7B-AWQ","beowolx/CodeNinja-1.0-OpenChat-7B","quantized","high","explicit_tag | base_model:quantized:beowolx/CodeNinja-1.0-OpenChat-7B"
"MaziyarPanahi/calme-2.3-qwen2-72b","Qwen/Qwen2-72B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2-72B; cardData.base_model_relation=finetune"
"ernie-research/HH-RLHF-Gemma-2B-MA-PPO-Fixed5","google/gemma-2b","finetune","high","explicit_card | cardData.base_model=google/gemma-2b; cardData.base_model_relation=finetune"
"LSXPrime/ProseFlow-v1-1.5B-Instruct-GGUF","LSXPrime/ProseFlow-v1-1.5B-Instruct","quantized","high","explicit_card | cardData.base_model=LSXPrime/ProseFlow-v1-1.5B-Instruct; cardData.base_model_relation=quantized"
"AMaslovskyi/qwen-devops-foundation-lora","Qwen/Qwen3-8B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-8B; cardData.base_model_relation=finetune"
"AMaslovskyi/qwen-devops-foundation-lora","Qwen/Qwen3-8B","adapter","high","explicit_tag | base_model:adapter:Qwen/Qwen3-8B"
"ai-nexuz/llama-3.2-1b-instruct-fine-tuned","unsloth/Llama-3.2-1B-Instruct","finetune","high","explicit_card | cardData.base_model=unsloth/Llama-3.2-1B-Instruct; cardData.base_model_relation=finetune"
"Trilogix1/Hugston_code-rl-Qwen3-4B-Instruct-2507-SFT-30b","Qwen/Qwen3-4B-Instruct-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Instruct; cardData.base_model_relation=finetune | validated: base_id 'Qwen/Qwen3-4B-Instruct' -> 'Qwen/Qwen3-4B-Instruct-2507'"
"TIGER-Lab/VisCoder2-3B","Qwen/Qwen2.5-Coder-3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-3B-Instruct; cardData.base_model_relation=finetune"
"mradermacher/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B-i1-GGUF","nightmedia/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B-qx86-mlx","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B' -> 'nightmedia/Qwen3-DND-LoveCraft-Master-of-Horror-Jan-v1-256k-ctx-8B-qx86-mlx'"
"QuantFactory/Mistral-7B-Instruct-v0.2-GGUF","mistralai/Mistral-7B-Instruct-v0.2","finetune","high","explicit_card | cardData.base_model=mistralai/Mistral-7B-Instruct-v0.2; cardData.base_model_relation=finetune"
"QuantFactory/Mistral-7B-Instruct-v0.2-GGUF","mistralai/Mistral-7B-Instruct-v0.2","quantized","high","explicit_tag | base_model:quantized:mistralai/Mistral-7B-Instruct-v0.2"
"MrBro123/Qwen3-0.6B","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"llmfan46/Qwen3.5-40B-Claude-4.5-Opus-High-Reasoning-Thinking-uncensored-heretic","DavidAU/Qwen3.5-40B-Claude-4.5-Opus-High-Reasoning-Thinking","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3.5-40B-Claude-4.5-Opus-High-Reasoning-Thinking; cardData.base_model_relation=finetune"
"TheBloke/Pandalyst-7B-V1.1-GGUF","pipizhao/Pandalyst-7B-V1.1","finetune","high","explicit_card | cardData.base_model=pipizhao/Pandalyst-7B-V1.1; cardData.base_model_relation=finetune"
"TheBloke/Pandalyst-7B-V1.1-GGUF","pipizhao/Pandalyst-7B-V1.1","quantized","high","explicit_tag | base_model:quantized:pipizhao/Pandalyst-7B-V1.1"
"echos-keeper/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B-Q4_K_M-GGUF","nightmedia/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B-qx86-hi-mlx","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B' -> 'nightmedia/Qwen3-ST-Deep-Space-Nine-v2-256k-ctx-6B-qx86-hi-mlx'"
"RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1-Distill-Llama-8B; cardData.base_model_relation=finetune"
"RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B"
"raggiebo/Nanbeige4.1-3B","Nanbeige/Nanbeige4-3B-Base","finetune","high","explicit_card | cardData.base_model=Nanbeige/Nanbeige4-3B-Base; cardData.base_model_relation=finetune"
"async0x42/Qwen3-Coder-30B-A3B-Instruct-exl3_4.5bpw","Qwen/Qwen3-Coder-30B-A3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-Coder-30B-A3B-Instruct; cardData.base_model_relation=finetune"
"async0x42/Qwen3-Coder-30B-A3B-Instruct-exl3_4.5bpw","Qwen/Qwen3-Coder-30B-A3B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct"
"cyankiwi/Qwen3-4B-Thinking-2507-AWQ-8bit","Qwen/Qwen3-4B-Thinking-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Thinking-2507; cardData.base_model_relation=finetune"
"cyankiwi/Qwen3-4B-Thinking-2507-AWQ-8bit","Qwen/Qwen3-4B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Thinking-2507"
"RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B; cardData.base_model_relation=finetune"
"RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B"
"Robertp423/Qwen3-VL-32B-Ievum-Merged","Qwen/Qwen3-VL-32B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-VL-32B-Instruct; cardData.base_model_relation=finetune"
"AlpYzc/code-llama-13b-turkish-custom","codellama/CodeLlama-13b-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-13b-hf; cardData.base_model_relation=finetune"
"osirisbrain/OsirisPtah-Coder-v7-MLX","Qwen/Qwen2.5-Coder-7B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-7B-Instruct; cardData.base_model_relation=finetune"
"osirisbrain/OsirisPtah-Coder-v7-MLX","Qwen/Qwen2.5-Coder-7B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Coder-7B-Instruct"
"lmstudio-community/Qwen2.5-Coder-7B-Instruct-GGUF","Qwen/Qwen2.5-Coder-7B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-7B-Instruct; cardData.base_model_relation=finetune"
"lmstudio-community/Qwen2.5-Coder-7B-Instruct-GGUF","Qwen/Qwen2.5-Coder-7B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Coder-7B-Instruct"
"TheBloke/Code-33B-GPTQ","ajibawa-2023/Code-33B","finetune","high","explicit_card | cardData.base_model=ajibawa-2023/Code-33B; cardData.base_model_relation=finetune"
"TheBloke/Code-33B-GPTQ","ajibawa-2023/Code-33B","quantized","high","explicit_tag | base_model:quantized:ajibawa-2023/Code-33B"
"Sayan18/finetune_starcoder2","bigcode/starcoder2-3b","finetune","high","explicit_card | cardData.base_model=bigcode/starcoder2-3b; cardData.base_model_relation=finetune"
"Sayan18/finetune_starcoder2","bigcode/starcoder2-3b","adapter","high","explicit_tag | base_model:adapter:bigcode/starcoder2-3b"
"echos-keeper/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B-Q5_K_M-GGUF","DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B; cardData.base_model_relation=finetune"
