"model_id","SE_task_name","SE_activity","se_reasoning"
"TheBloke/Python-Code-33B-GGUF","Code Generation","Software implementation"," The model card explicitly states the model ""can generate Python Code along with necessary explanation."" This directly supports the implementation of software solutions through code generation, fitting the criteria for relevance to the Software Implementation phase."
"TheBloke/Python-Code-33B-GPTQ","Code Generation","Software implementation"," The model card explicitly states that the model ""can generate Python Code along with necessary explanation,"" indicating its direct relevance to the software implementation phase by supporting code generation. Additionally, the prompt template example also states, ""AI assistant can generate Python Code along with necessary explanation."""
"TheBloke/Tulu-13B-SuperHOT-8K-GGML","Code Generation","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca and explicitly mentions code generation, which falls under software implementation."""
"TheBloke/Tulu-13B-SuperHOT-8K-GGML","Coding","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca and explicitly mentions code generation, which falls under software implementation."""
"TheBloke/Tulu-7B-SuperHOT-8K-GGML","Code Generation","Software implementation"," The model card mentions that the model was finetuned on ""Code-Alpaca"" and addresses coding abilities. Also, the abstract from the associated arXiv paper mentions that the models were evaluated on coding."""
"TheBloke/Tulu-7B-SuperHOT-8K-GGML","Coding","Software implementation"," The model card mentions that the model was finetuned on ""Code-Alpaca"" and addresses coding abilities. Also, the abstract from the associated arXiv paper mentions that the models were evaluated on coding."""
"TheBloke/WizardCoder-15B-1.0-GGML","Code Completion","Software implementation"," WizardCoder is explicitly designed for code generation and fine-tuning of code LLMs, directly supporting software implementation tasks like generating code from instructions. The model card describes how it was trained with evolved code instructions and achieves high performance on coding benchmarks."
"TheBloke/WizardCoder-15B-1.0-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions that WizardCoder is designed for code-related tasks and provides support for code generation, which falls directly under software implementation. It also achieves high scores on HumanEval benchmarks, indicating its effectiveness in code completion. The model card also provides information on fine-tuning, inference, and evaluation, which are all part of the software implementation phase."
"TheBloke/WizardCoder-33B-V1.1-AWQ","Code Generation","Software implementation"," The model card explicitly states that WizardCoder is designed for code generation and achieves high pass rates on coding benchmarks like HumanEval and MBPP. This indicates its direct applicability to software implementation."""
"TheBloke/WizardCoder-33B-V1.1-GGUF","Code Generation","Software implementation"," The model card explicitly mentions that WizardCoder is designed for code generation, confirmed by achieving high scores on coding benchmarks like HumanEval and MBPP. The model card also provides details on how to reproduce the model performance. This explicitly relates to software implementation, aligning with the specified criteria."""
"TheBloke/WizardCoder-33B-V1.1-GPTQ","Code Generation","Software implementation"," The model card explicitly states that WizardCoder is designed for code-related tasks, achieving high pass@1 scores on benchmarks like HumanEval and MBPP, implying its direct applicability to generating or understanding code during software implementation. It provides code generation examples and supports code-related tasks. Specifically, it says it ""Empowering Code Large Language Models with Evol-Instruct"" and ""We released **WizardCoder-33B-V1.1** trained from deepseek-coder-33b-base, the **SOTA OSS Code LLM**"" This all strongly implies SI relevance."
"TheBloke/XwinCoder-13B-AWQ","Code Generation","Software implementation"," The model card explicitly states ""You are an AI coding assistant that helps people with programming. Write a response that appropriately completes the user's request,"" indicating direct support for implementing software solutions through code. It is also an instruction finetuned code generation model."""
"TheBloke/XwinCoder-13B-GGUF","Code Generation","Software implementation"," The model card explicitly states that XwinCoder is an ""AI coding assistant that helps people with programming"" and focuses on ""instruction finetuned code generation models"" which directly aligns with the software implementation phase. The model card also mentions capabilities like HumanEval pass@1, MBPP pass@1, APPS-intro pass@5, implying it can generate code that passes coding benchmarks."""
"TheBloke/XwinCoder-13B-GPTQ","Code Generation","Software implementation"," The model card explicitly states ""You are an AI coding assistant that helps people with programming. Write a response that appropriately completes the user's request."". The model also can do code generation. These all fall under the implementation phase."
"TheBloke/XwinCoder-34B-AWQ","Code Generation","Software implementation"," The model card explicitly states that XwinCoder is an ""AI coding assistant that helps people with programming"" and that the models are ""instruction finetuned code generation models"". It achieved high scores on coding benchmarks like HumanEval, MBPP, and APPS which involve generating code to solve problems. This supports the process of implementing software solutions through code generation."""
"TheBloke/XwinCoder-34B-GGUF","Code Generation","Software implementation"," The model card explicitly states the model is an ""AI coding assistant that helps people with programming"" and is instruction fine-tuned for code generation, which directly supports the software implementation phase."""
"TheBloke/XwinCoder-34B-GPTQ","Code Generation","Software implementation"," The model card explicitly states that XwinCoder is an instruction finetuned code generation model. The model is evaluated on benchmarks like HumanEval, MBPP, and APPS, which are standard for assessing code generation capabilities. This directly supports the implementation of software solutions through code, which aligns with the SI phase."
"TheBloke/baichuan-vicuna-7B-GGML","Coding","Software implementation"," The model card explicitly mentions that the model was finetuned on Leetcode datasets and aims to improve coding abilities. It also provides an example of implementing a binary search algorithm."
"TheBloke/bloomz-176B-GPTQ","Program Synthesis","Software implementation"," The model card explicitly shows the model was trained on code and includes a code-en example. It also has program synthesis benchmarks"""
"TheBloke/deepseek-coder-1.3b-base-AWQ","Code Completion","Software implementation"," The model card explicitly mentions and demonstrates capabilities directly relevant to the Software Implementation phase, such as code completion, code insertion, and repository-level code completion, all of which involve generating or manipulating code to implement a software solution."
"TheBloke/deepseek-coder-1.3b-base-GGUF","Code Completion","Software implementation"," The model card explicitly mentions code completion and insertion capabilities, which are directly relevant to software implementation."""
"TheBloke/deepseek-coder-1.3b-base-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions capabilities like code completion, code insertion, and repository-level code completion, which directly support the process of implementing software solutions through code. The examples provided demonstrate the model's ability to generate code snippets and complete code blocks, aligning with the criteria for relevance to the SI phase."
"TheBloke/deepseek-coder-1.3b-instruct-AWQ","Code Completion","Software implementation"," The model card explicitly states that the Deepseek Coder models are designed to support project-level code completion and infilling, and that the Deepseek Coder 1.3B Instruct model is fine-tuned for instruction following. The example code demonstrates how to use the model to generate a quick sort algorithm in Python. These features are directly relevant to the Software Implementation phase."
"TheBloke/deepseek-coder-1.3b-instruct-GGUF","Code Completion","Software implementation"," The model card states that Deepseek Coder is a series of code language models trained to support project-level code completion and infilling. It also provides an example of how to use the model to generate code. This directly supports the implementation of software through code generation."""
"TheBloke/deepseek-coder-1.3b-instruct-GPTQ","Code Completion","Software implementation"," The model card explicitly states that the Deepseek Coder is designed for coding tasks, including project-level code completion and infilling. It also includes an example of generating a quicksort algorithm in Python. These capabilities directly support the software implementation phase."
"TheBloke/deepseek-coder-33B-base-AWQ","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder is designed for code completion and infilling tasks, including project-level code completion, which directly supports the implementation of software solutions through code. The examples provided demonstrate code completion, code insertion and repository level code completion."
"TheBloke/deepseek-coder-33B-base-GGUF","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder supports code completion, code insertion, and repository-level code completion. These are all activities that directly support the implementation of a software solution through code."
"TheBloke/deepseek-coder-33B-base-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions and demonstrates code completion, code insertion, and repository-level code completion. These are all directly applicable to the Software Implementation phase."
"TheBloke/deepseek-coder-33B-instruct-AWQ","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder is designed for code completion and infilling, and achieves state-of-the-art performance on various benchmarks. It is also described as an AI programming assistant. It has been trained on a massive code corpus for project-level code completion, API inference, and code generation."
"TheBloke/deepseek-coder-33B-instruct-GGUF","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder is designed for code completion and infilling at the project level, which directly supports the implementation phase. The model is also shown to be able to generate code from instructions, write algorithms, which fall under the criteria for relevance to SI."""
"TheBloke/deepseek-coder-33B-instruct-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions that Deepseek Coder is designed to answer questions related to computer science and achieve state-of-the-art performance among open-source code models on multiple programming languages and various benchmarks. It also supports project-level code completion and infilling, which clearly aligns with the code generation and code editing aspects of the Software Implementation phase."""
"TheBloke/deepseek-coder-5.7bmqa-base-GGUF","Code Completion","Software implementation"," The model card explicitly states the model's capability for code completion, code insertion, and repository-level code completion, all of which directly support the implementation of software solutions. The examples provided demonstrate the generation of code snippets to satisfy user prompts, fulfilling the criteria for relevance to the Software Implementation phase."
"TheBloke/deepseek-coder-5.7bmqa-base-GPTQ","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder supports code completion and infilling, which are relevant to the software implementation phase. The card also provides examples of code completion, code insertion, and repository level code completion."
"TheBloke/deepseek-coder-6.7B-base-AWQ","Code Completion","Software implementation"," The model card explicitly mentions and demonstrates code completion, code insertion, and repository-level code completion using examples, which are all tasks directly related to software implementation."
"TheBloke/deepseek-coder-6.7B-base-GGUF","Code Completion","Software implementation"," The model card explicitly mentions code completion, code insertion, and repository-level code completion, all of which are relevant to the Software Implementation phase."
"TheBloke/deepseek-coder-6.7B-base-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions code completion, code insertion, and repository-level code completion as examples of how to use the model, which are all tasks within the scope of software implementation."
"TheBloke/deepseek-coder-6.7B-instruct-AWQ","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder is designed for code-related tasks, including code completion and infilling. The ""How to Use"" section provides example code for generating code using the model, specifically writing a quick sort algorithm in Python. This aligns with the SI phase's focus on implementing software solutions through code."
"TheBloke/deepseek-coder-6.7B-instruct-GGUF","Code Completion","Software implementation"," The model card explicitly states that Deepseek Coder is designed for code completion and infilling, and it demonstrates how to use the model to write a quick sort algorithm in python, which directly aligns with the software implementation phase."
"TheBloke/deepseek-coder-6.7B-instruct-GPTQ","Code Completion","Software implementation"," The model card explicitly states that the model is designed as an ""AI programming assistant"", trained on a large dataset of code and natural language, and fine-tuned for instruction following. It is explicitly intended for code completion and infilling, and provides an example of generating a quick sort algorithm in Python, all of which fall under the definition of software implementation."
"TheBloke/genz-13B-v2-AWQ","Code Generation","Software implementation"," The model card explicitly mentions code generation as a direct use case for GenZ 13B."""
"TheBloke/genz-13B-v2-GGUF","Code Generation","Software implementation"," The model card mentions 'Code Generation' as a capability, which falls under the criteria of supporting the implementation of software solutions through code."""
"TheBloke/genz-13B-v2-GPTQ","Code Generation","Software implementation"," The model card mentions 'Code Generation' as one of the model's capabilities and provides an example of Python code generation."""
"TheBloke/orca_mini_v2_7B-GPTQ","Code Generation","Software implementation"," The model card mentions that the fine-tuned model has ""better code generation capabilities"" compared to its predecessor."""
"TheBloke/phi-2-electrical-engineering-GGUF","Code Generation","Software implementation"," The model card mentions that this model can be used for ""Creation of Python code in general, and for Kicad's scripting console,"" which directly supports implementing software solutions through code."""
"TheBloke/speechless-code-mistral-7B-v1.0-AWQ","Coding","Software implementation"," This model is explicitly designed for code-related tasks, fine-tuned on datasets including coding conversations and Python code generation, and evaluated on the HumanEval benchmark. This indicates relevance to software implementation tasks such as code generation."
"TheBloke/speechless-code-mistral-7B-v1.0-GGUF","Coding","Software implementation"," This model is specifically designed for code-related tasks, as indicated by its name ""Speechless Code Mistral"" and its training on datasets related to coding, reasoning, and planning, including code conversation, python code generation, and evaluation."""
"TheBloke/speechless-code-mistral-7B-v1.0-GPTQ","Coding","Software implementation"," The model card explicitly states that this model is designed to improve the model's reasoning and planning abilities. In addition, the model card specifies that the model was finetuned to improve performance on coding tasks using datasets like TokenBender/python_eval_instruct_51k, WizardLM/WizardLM_evol_instruct_V2_196k, and Spider. Therefore, it is applicable to SI."
"TheBloke/speechless-codellama-34b-v2.0-AWQ","Code Completion","Software implementation"," The model card explicitly states that the model is designed for general code synthesis and understanding, code completion, infilling, and is a Python specialist. These are all tasks relevant to the software implementation phase."
"TheBloke/speechless-codellama-34b-v2.0-AWQ","Coding","Software implementation"," The model card explicitly states that the model is designed for general code synthesis and understanding, code completion, infilling, and is a Python specialist. These are all tasks relevant to the software implementation phase."
"TheBloke/speechless-codellama-34b-v2.0-GGUF","Code Completion","Software implementation"," The model card explicitly mentions that Code Llama is designed for general code synthesis and understanding and can be adapted for a variety of code synthesis and understanding tasks. It supports code completion and infilling. The arXiv paper also mentions that it provides state-of-the-art performance, infilling capabilities, support for large input contexts, and zero-shot instruction following ability for programming tasks. This aligns with the SI criteria."
"TheBloke/speechless-codellama-34b-v2.0-GGUF","Coding","Software implementation"," The model card explicitly mentions that Code Llama is designed for general code synthesis and understanding and can be adapted for a variety of code synthesis and understanding tasks. It supports code completion and infilling. The arXiv paper also mentions that it provides state-of-the-art performance, infilling capabilities, support for large input contexts, and zero-shot instruction following ability for programming tasks. This aligns with the SI criteria."
"TheBloke/speechless-codellama-34b-v2.0-GPTQ","Code Completion","Software implementation"," The model card explicitly mentions that Code Llama is designed for code synthesis and understanding, code completion, and infilling, which are relevant to software implementation. The model also performs well on coding benchmarks like HumanEval and MBPP."
"TheBloke/speechless-codellama-34b-v2.0-GPTQ","Coding","Software implementation"," The model card explicitly mentions that Code Llama is designed for code synthesis and understanding, code completion, and infilling, which are relevant to software implementation. The model also performs well on coding benchmarks like HumanEval and MBPP."
"TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-AWQ","Code Generation","Software implementation"," The model card explicitly mentions the model's performance on the HumanEval dataset with a score of 34.146, indicating its capability in code generation. The model also outperforms Llama 1 34B in reasoning, mathematics, and code generation."""
"TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-GGUF","Code Generation","Software implementation"," The model card shows that this model was evaluated on HumanEval and it shows a pass@1 value, implying it can generate code. The paper abstract also indicates the model's ability in code generation."
"TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-GPTQ","Code Generation","Software implementation"," The model card mentions that this model outperforms Llama 1 34B in code generation, which directly falls under the tasks relevant to the SI phase of the SDLC. Furthermore, the HumanEval metric indicates its coding capabilities."
"TheBloke/speechless-tora-code-7B-v1.0-AWQ","Coding","Software implementation"," The model card explicitly mentions that the model was trained on code and evaluated on the HumanEval dataset, which measures the model's ability to generate code from docstrings. This indicates the model's applicability to the software implementation phase."""
"TheBloke/speechless-tora-code-7B-v1.0-GGUF","Coding","Software implementation"," The model card mentions that the model was trained on coding datasets and shows performance on the HumanEval benchmark, which is designed to evaluate code generation capabilities."""
"TheBloke/speechless-tora-code-7B-v1.0-GPTQ","Coding","Software implementation"," The model card explicitly mentions that the model was trained on coding datasets, including WizardLM for coding conversations and TokenBender for Python code evaluation. The model card also shows the pass@1 score for the HumanEval dataset. These indicate that the model supports code generation, code understanding, and code-related tasks."
"TheBloke/stablecode-completion-alpha-3b-4k-GGML","Code Completion","Software implementation"," The model card explicitly states the model's intended use is single/multiline code completion and provides example code."""
"TheBloke/stablecode-completion-alpha-3b-4k-GPTQ","Code Completion","Software implementation"," The model card explicitly states that the model is intended for single/multiline code completion from a long context window, which directly supports the implementation of software solutions through code."""
"TheBloke/stablecode-instruct-alpha-3b-GGML","Code Completion","Software implementation"," The model card explicitly states that `StableCode-Instruct-Alpha-3B` is intended to follow instructions to generate code. The model is also instruction finetuned with code instruction datasets."""
"TheBloke/stablecode-instruct-alpha-3b-GPTQ","Code Completion","Software implementation"," The model card states that `StableCode-Instruct-Alpha-3B` is an instruction finetuned version of a model pre-trained on code, intended to generate code following instructions. This aligns directly with the criteria for SI, as it explicitly supports the process of implementing a software solution through code generation."
"TheBloke/starchat-beta-GGML","Code Completion","Software implementation"," The model card explicitly mentions that StarChat Beta is designed as a helpful coding assistant and demonstrates coding capabilities, indicating direct relevance to software implementation tasks like code generation and assistance."""
"TheBloke/starchat-beta-GPTQ","Code Completion","Software implementation"," The model card explicitly states that StarChat Beta is designed to be a helpful coding assistant and provides code examples for its use. It also says it's fine-tuned for coding tasks."""
"TheBloke/tulu-13B-AWQ","Code Generation","Software implementation"," The model card mentions that Tulu 13B was finetuned on CodeAlpaca-20k, which is explicitly an instruction-following model for code generation. This indicates relevance to software implementation."""
"TheBloke/tulu-13B-AWQ","Coding","Software implementation"," The model card mentions that Tulu 13B was finetuned on CodeAlpaca-20k, which is explicitly an instruction-following model for code generation. This indicates relevance to software implementation."""
"TheBloke/tulu-13B-GGML","Code Generation","Software implementation"," The model card mentions that the model was fine-tuned on CodeAlpaca, and the abstract mentions that the model was evaluated on coding abilities."""
"TheBloke/tulu-13B-GGML","Coding","Software implementation"," The model card mentions that the model was fine-tuned on CodeAlpaca, and the abstract mentions that the model was evaluated on coding abilities."""
"TheBloke/tulu-13B-GGUF","Code Generation","Software implementation"," The model was fine-tuned on CodeAlpaca and the arXiv paper mentions evaluating the model on its coding abilities, thus it's applicable to the Software Implementation phase."
"TheBloke/tulu-13B-GGUF","Coding","Software implementation"," The model was fine-tuned on CodeAlpaca and the arXiv paper mentions evaluating the model on its coding abilities, thus it's applicable to the Software Implementation phase."
"TheBloke/tulu-13B-fp16","Code Generation","Software implementation"," The model card mentions that this model was finetuned on Code-Alpaca, a dataset for code generation, which directly supports the software implementation process."""
"TheBloke/tulu-13B-fp16","Coding","Software implementation"," The model card mentions that this model was finetuned on Code-Alpaca, a dataset for code generation, which directly supports the software implementation process."""
"TheBloke/tulu-30B-AWQ","Code Generation","Software implementation"," The model card mentions that Tulu 30B was fine-tuned on Code-Alpaca and the associated arXiv paper mentions coding capabilities. Therefore, the model is applicable to SI."""
"TheBloke/tulu-30B-AWQ","Coding","Software implementation"," The model card mentions that Tulu 30B was fine-tuned on Code-Alpaca and the associated arXiv paper mentions coding capabilities. Therefore, the model is applicable to SI."""
"TheBloke/tulu-30B-GGML","Code Generation","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca and explicitly evaluated on coding tasks. This indicates a clear relevance to software implementation."""
"TheBloke/tulu-30B-GGML","Coding","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca and explicitly evaluated on coding tasks. This indicates a clear relevance to software implementation."""
"TheBloke/tulu-30B-fp16","Code Generation","Software implementation"," The model card explicitly states that the model was finetuned on Code-Alpaca and that it was evaluated on coding, indicating relevance to software implementation."""
"TheBloke/tulu-30B-fp16","Coding","Software implementation"," The model card explicitly states that the model was finetuned on Code-Alpaca and that it was evaluated on coding, indicating relevance to software implementation."""
"TheBloke/tulu-7B-GGML","Code Generation","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca, which is explicitly for code generation. Also, the abstract mentions ""coding"" as one of the abilities that were evaluated in the instruction-tuned models. So, the model is applicable to SI."""
"TheBloke/tulu-7B-GGML","Coding","Software implementation"," The model card mentions that the model was finetuned on Code-Alpaca, which is explicitly for code generation. Also, the abstract mentions ""coding"" as one of the abilities that were evaluated in the instruction-tuned models. So, the model is applicable to SI."""
"TheBloke/tulu-7B-GGUF","Code Generation","Software implementation"," The model card mentions that the model was finetuned on ""Code-Alpaca,"" which is explicitly described as a model for code generation. The paper abstract also mentions that the model was evaluated on ""coding"". These points directly indicate the model's relevance to software implementation through code generation."
"TheBloke/tulu-7B-GGUF","Coding","Software implementation"," The model card mentions that the model was finetuned on ""Code-Alpaca,"" which is explicitly described as a model for code generation. The paper abstract also mentions that the model was evaluated on ""coding"". These points directly indicate the model's relevance to software implementation through code generation."
"TheBloke/tulu-7B-GPTQ","Code Generation","Software implementation"," The model card mentions that the Tulu 7B model was finetuned on Code-Alpaca, which is for code generation. It also has Codex-Eval scores which suggests it can generate code."""
"TheBloke/tulu-7B-GPTQ","Coding","Software implementation"," The model card mentions that the Tulu 7B model was finetuned on Code-Alpaca, which is for code generation. It also has Codex-Eval scores which suggests it can generate code."""
"ThomasBaruzier/Qwen2.5-Coder-0.5B-Instruct-GGUF","Code Generation","Software implementation"," The model card explicitly states that Qwen2.5-Coder has significant improvements in code generation, code reasoning, and code fixing, which are all relevant to the Software Implementation phase. The arXiv abstract confirms the code generation capabilities and mentions state-of-the-art performance in code generation, completion, reasoning, and repair."
"ThomasBaruzier/Qwen2.5-Coder-0.5B-Instruct-GGUF","Coding","Software implementation"," The model card explicitly states that Qwen2.5-Coder has significant improvements in code generation, code reasoning, and code fixing, which are all relevant to the Software Implementation phase. The arXiv abstract confirms the code generation capabilities and mentions state-of-the-art performance in code generation, completion, reasoning, and repair."
"ThomasBaruzier/Qwen2.5-Coder-1.5B-Instruct-GGUF","Code Generation","Software implementation"," The model card and abstract explicitly mention its capabilities in code generation, code reasoning, code fixing, and code completion, which directly support implementing software solutions through code."
"ThomasBaruzier/Qwen2.5-Coder-1.5B-Instruct-GGUF","Coding","Software implementation"," The model card and abstract explicitly mention its capabilities in code generation, code reasoning, code fixing, and code completion, which directly support implementing software solutions through code."
"ThomasBaruzier/Qwen2.5-Coder-32B-Instruct-EXL2","Code Generation","Software implementation"," The model card explicitly states improvements in ""code generation,"" which falls under the provided criteria for the SI phase. The model card also mentions strong performance in ""code completion"", ""code reasoning"" and ""code fixing"", all of which are applicable to the SI phase. Furthermore, the abstract confirms strong performance in code generation, completion, reasoning, and repair."
"ThomasBaruzier/Qwen2.5-Coder-32B-Instruct-EXL2","Coding","Software implementation"," The model card explicitly states improvements in ""code generation,"" which falls under the provided criteria for the SI phase. The model card also mentions strong performance in ""code completion"", ""code reasoning"" and ""code fixing"", all of which are applicable to the SI phase. Furthermore, the abstract confirms strong performance in code generation, completion, reasoning, and repair."
"ThomasBaruzier/Qwen2.5-Coder-32B-Instruct-GGUF","Code Generation","Software implementation"," The model card explicitly mentions improvements in code generation, code reasoning, and code fixing, and the associated arXiv paper mentions code generation, completion, reasoning, and repair, all of which directly support software implementation. The model is explicitly designed for coding tasks."
"ThomasBaruzier/Qwen2.5-Coder-32B-Instruct-GGUF","Coding","Software implementation"," The model card explicitly mentions improvements in code generation, code reasoning, and code fixing, and the associated arXiv paper mentions code generation, completion, reasoning, and repair, all of which directly support software implementation. The model is explicitly designed for coding tasks."
"ThomasBaruzier/Qwen2.5-Coder-3B-Instruct-GGUF","Code Generation","Software implementation"," The model card and the arXiv paper explicitly mention that Qwen2.5-Coder has significant improvements in code generation, code reasoning, and code fixing, and has been evaluated on code-related tasks, including code generation, completion, reasoning, and repair. This directly supports the process of implementing a software solution through code and aligns with the criteria for relevance to the SI phase."
"ThomasBaruzier/Qwen2.5-Coder-3B-Instruct-GGUF","Coding","Software implementation"," The model card and the arXiv paper explicitly mention that Qwen2.5-Coder has significant improvements in code generation, code reasoning, and code fixing, and has been evaluated on code-related tasks, including code generation, completion, reasoning, and repair. This directly supports the process of implementing a software solution through code and aligns with the criteria for relevance to the SI phase."
"ThomasBaruzier/Qwen2.5-Coder-7B-Instruct-GGUF","Code Generation","Software implementation"," The model card explicitly states that Qwen2.5-Coder is designed for code generation, reasoning, and fixing, all of which fall under the scope of software implementation. The model card also shows a code snippet showing how to use it for code generation. Furthermore, the abstract highlights the model's SOTA performance in code generation, completion, reasoning, and repair. These capabilities are directly relevant to the SI phase."
"ThomasBaruzier/Qwen2.5-Coder-7B-Instruct-GGUF","Coding","Software implementation"," The model card explicitly states that Qwen2.5-Coder is designed for code generation, reasoning, and fixing, all of which fall under the scope of software implementation. The model card also shows a code snippet showing how to use it for code generation. Furthermore, the abstract highlights the model's SOTA performance in code generation, completion, reasoning, and repair. These capabilities are directly relevant to the SI phase."
"ThoughtFocusAI/CodeGeneration-CodeT5-base","Code Generation","Software implementation"," The model card explicitly states the model is fine-tuned for Python Code Generation, which directly supports the implementation of software solutions through code."""
"TobDeBer/PowerMoe-3b-GGUF","Code Generation","Software implementation"," The model card and paper abstract explicitly mention code generation as one of its capabilities, and the model achieved a pass@1 score on the humaneval and MBPP benchmarks. These benchmarks are directly related to generating functional code, which falls under the activities of the Software Implementation phase."
"TommyZQ/phi-1","Coding","Software implementation"," The model is explicitly designed for code generation and has demonstrated an accuracy rate exceeding 50% on the HumanEval benchmark for basic Python coding. It is trained on a variety of data sources, including Python codes from The Stack v1.2, Q&A content from StackOverflow, competition code from code_contests, and synthetic Python textbooks and exercises generated by gpt-3.5-turbo-0301."
"TommyZQ/phi-1_5","Coding","Software implementation"," The model summary explicitly states, ""Phi-1.5 can write poems, draft emails, create stories, summarize texts, write Python code (such as downloading a Hugging Face transformer model), etc."" and the code format example demonstrates code generation."""
"Tonic/c4ai-command-a-03-2025-4bit_nf4_double","Code Generation","Software implementation"," The model card explicitly mentions code generation capabilities and code translation, aligning with tasks performed during the software implementation phase."
"Tonic/c4ai-command-a-03-2025-4bit_nf4_double","Code Translation","Software implementation"," The model card explicitly mentions code generation capabilities and code translation, aligning with tasks performed during the software implementation phase."
"Trelis/CodeLlama-34b-Instruct-hf-function-calling-adapters-v2","Code Completion","Software implementation"," The model card mentions CodeLlama which is designed for general code synthesis and understanding. It also refers to instruction following and safer deployment, code completion, and infilling. Also, it has function calling capabilities."
"Trelis/Microsoft_Phi-4-FP8-Dynamic","Code Generation","Software implementation"," The model card explicitly mentions that the model was trained on code, and that it performs ""functional code generation"" as evidenced by its performance on the HumanEval benchmark."""
"Trelis/Mistral-7B-v0.1-chat-ORPO","Code Generation","Software implementation"," The model card and abstract explicitly state that Mistral 7B outperforms Llama 1 34B in code generation, which directly supports the implementation of software solutions through code."
"Trelis/Mistral-7B-v0.1-chat-SFT","Code Generation","Software implementation"," The abstract mentions that the model outperforms Llama 1 34B in code generation, which directly relates to the software implementation phase."
"Trelis/Phi-3-mini-128k-instruct-function-calling","Coding","Software implementation"," This model is function calling fine-tuned, designed to call functions as part of its text generation, which directly supports implementing software solutions to satisfy a user with code."""
"TroyDoesAI/Mermaid-Llama-3-7B-Pruned","Code Understanding","Software implementation"," The model is designed for Python code understanding and generating Mermaid Diagram Flow Charts, useful for visualizing code logic. It can generate visual flow charts from Python code and create flow maps from step-by-step instructions, which directly contributes to implementing a software solution through code. It also features automatic visual flow charts from Python code."
"TroyDoesAI/Mermaid-Llama-3-7B-Pruned","Data Analysis","Software implementation"," The model is designed for Python code understanding and generating Mermaid Diagram Flow Charts, useful for visualizing code logic. It can generate visual flow charts from Python code and create flow maps from step-by-step instructions, which directly contributes to implementing a software solution through code. It also features automatic visual flow charts from Python code."
"TroyDoesAI/Mermaid-Llama-3-8B","Code Understanding","Software implementation"," The model generates Mermaid diagram flow charts from Python code, aiding in visualizing code logic. It is also explicitly for code documentation and understanding Python code structures."
"TroyDoesAI/Mermaid-Llama-3-8B","Data Analysis","Software implementation"," The model generates Mermaid diagram flow charts from Python code, aiding in visualizing code logic. It is also explicitly for code documentation and understanding Python code structures."
"TroyDoesAI/Mermaid-Llama-6.7B-RAG","Code Understanding","Software implementation"," The model generates Mermaid diagram flow charts from Python code, which directly supports the implementation and visualization of code logic. The model is positioned as an auto-complete model, capable of generating code from diagrams."
"TroyDoesAI/Mermaid-Llama-6.7B-RAG-Code-Instruct","Code Understanding","Software implementation"," The model has a ""Code Instruct"" feature that generates executable code snippets directly from user instructions. This supports the implementation of software solutions."
"TroyDoesAI/MermaidMistral","Code Understanding","Software implementation"," The model generates flow charts from Python code, aiding in code understanding, which falls under code summarization. It also will have a vscode extension allowing a Live Flow Map while programming."
"Vezora/Qwen2.5-Coder-32B-Instruct-fp8-W8A16","Code Generation","Software implementation"," The model card mentions that the model is suitable for ""high-precision applications such as code generation"" and includes a script to quantize models for code generation."
"Villian7/01Coder","Code Generation","Software implementation"," The model card explicitly states the model is fine-tuned for code generation tasks and aims to assist developers in generating code snippets for various programming tasks. This directly aligns with the criteria for supporting the software implementation phase."
"Virende/Solphie-1S-Foundation-Model","Code Generation","Software implementation"," The model generates high-quality, Solana-optimized code snippets and debugs smart contracts and dApps, which are directly related to implementing software solutions in the SI phase."""
"Volko76/Qwen2.5-Coder-1.5B-Instruct-5.5bpw-exl2","Code Generation","Software implementation"," The model card explicitly mentions ""significantly improvements in code generation, code reasoning and code fixing"" and that it ""demonstrates impressive code generation capabilities while retaining general versatility"". The abstract mentions ""code generation, completion, reasoning, and repair,"" and claims that the model ""achiev[es] state-of-the-art (SOTA) performance."" These features fall under the implementation phase of the SDLC."
